Hashes ,File Type, Type,Original Name,Code Size,File Size,Version,String1,String2,PEType,PE Session,PE imports,PE resource,Engine1,Signature1,Engine2,Signature2,Engine3,Signature3,Detection,Entry Point,Malware Indicator
1999d07c7d5fd60f8b4ac2928e685855,Win32 EXE,Data,RevoUninstallerPortable_2.0.2.paf.exe,28672,6.7 MB,2.0.2.0,.rdata,.ndata,PE32,.text .ndata .reloc .rsrc  .data,COMCTL32.dllGDI32.dllKERNEL32.dllSHELL32.dllUSER32.dADVAPI32.dllllVERSION.dllole32.dll,51,Ad-Aware,?,AegisLab,?,Malwarebytes,?,0/50,0x000039E3,NO
5a032e4017ab78d58725b354c60bfcb5,Win32 EXE,Data,OpenTTDPortable_1.6.1.paf.exe,25088,18.8 MB,1.6.1.0,.rdata,.ndata,PE32,.text .ndata .reloc .rsrc  .data,COMCTL32.dllGDI32.dllKERNEL32.dllSHELL32.dllUSER32.dADVAPI32.dllllVERSION.dllole32.dll,43,Ad-Aware,?,AegisLab,?,Malwarebytes,?,0/55,0x000033B6,NO
19f85dfca643fbbdb97b1f05abf15d30,Win32 EXE,Data,WinPenguinsPortable_0.76_English.paf.exe,28672,1.4 MB,1.0.76.0,.rdata,.ndata,PE32,.text .ndata .reloc .rsrc  .data,COMCTL32.dllGDI32.dllKERNEL32.dllSHELL32.dllUSER32.dADVAPI32.dllllVERSION.dllole32.dll,14,Ad-Aware,?,AegisLab,?,Malwarebytes,?,0/56,0x000039E3,NO
58d398bd89756727099895fed96cb787,Win32 EXE,Data,ProcessExplorerPortable_16.20_Rev_3_online.paf.exe,28672,1.0 MB,16.20.0.3,.rdata,.ndata,PE32,.text .ndata .reloc .rsrc  .data,COMCTL32.dllGDI32.dllKERNEL32.dllSHELL32.dllUSER32.dADVAPI32.dllllVERSION.dllole32.dll,51,Ad-Aware,?,AegisLab,?,Malwarebytes,?,0/57,0x000039E3,NO
1cb5ce9f80db32aca2dd6cc85ee5dd37,Win32 EXE,Data,CDExPortable_1.8.1.paf.exe,28672,4.9 MB,1.8.1.0,.rdata,.ndata,PE32,.text .ndata .reloc .rsrc  .data,COMCTL32.dllGDI32.dllKERNEL32.dllSHELL32.dllUSER32.dADVAPI32.dllllVERSION.dllole32.dll,43,Ad-Aware,?,AegisLab,?,Malwarebytes,?,0/58,0x000033B6,NO
ca4b945a13b0b08900526cdb982ee304,Win32 EXE,Data,WorkravePortable_1.10.paf.exe,28672,11.5 MB,1.10.0.0,.rdata,.ndata,PE32,.text .ndata .reloc .rsrc  .data,COMCTL32.dllGDI32.dllKERNEL32.dllSHELL32.dllUSER32.dADVAPI32.dllllVERSION.dllole32.dll,34,Ad-Aware,?,AegisLab,?,Malwarebytes,?,0/59,0x000039E3,NO
ca2fd368d6e9dd4c5a3ce46cc4e59344,Win32 EXE,Data,PeaZipPortable_6.3.0.paf.exe,28672,9.2 MB,6.3.0.0,.rdata,.ndata,PE32,.text .ndata .reloc .rsrc  .data,COMCTL32.dllGDI32.dllKERNEL32.dllSHELL32.dllUSER32.dADVAPI32.dllllVERSION.dllole32.dll,43,Ad-Aware,?,AegisLab,?,Malwarebytes,?,0/60,0x000039E3,NO
21acddcc9d72285a67c6face9e02938e,Win32 EXE,Data,GollyPortable_2.8_English.paf.exe,28672,5.1 MB,2.8.0.0,.rdata,.ndata,PE32,.text .ndata .reloc .rsrc  .data,COMCTL32.dllGDI32.dllKERNEL32.dllSHELL32.dllUSER32.dADVAPI32.dllllVERSION.dllole32.dll,15,Ad-Aware,?,AegisLab,?,Malwarebytes,?,0/61,0x000039E3,NO
222e454a3f85749b3af06943524d90a6,Win32 EXE,Data,LynxPortable_2.8.7_Rev_2.paf.exe,28672,1.3 MB,2.8.7.2,.rdata,.ndata,PE32,.text .ndata .reloc .rsrc  .data,COMCTL32.dllGDI32.dllKERNEL32.dllSHELL32.dllUSER32.dADVAPI32.dllllVERSION.dllole32.dll,42,Ad-Aware,?,AegisLab,?,Malwarebytes,?,0/62,0x000039E3,NO
cae1ec8b634bc4784aae1fd6bd986a7e,Win32 EXE,Data,WorkravePortable_1.10.paf.exe,28672,11.5 MB,1.10.0.0,.rdata,.ndata,PE32,.text .ndata .reloc .rsrc  .data,COMCTL32.dllGDI32.dllKERNEL32.dllSHELL32.dllUSER32.dADVAPI32.dllllVERSION.dllole32.dll,34,Ad-Aware,?,AegisLab,?,Malwarebytes,?,0/63,0x000033B6,NO
